"song","Bagarre","Diamant",,"https://www.youtube.com/watch?v=SlK-fkuOEpE"
"song","Bagarre","Danser seul",,"https://www.youtube.com/watch?v=JuECWIf3FaA"
"song","Bagarre","Claque-le",,"https://www.youtube.com/watch?v=eSocD8HdP5g"
"song","Bananarama","Venus","1980s,dance-pop,eurodance,pop","https://www.youtube.com/watch?v=d4-1ASpdT1Y"
"song","Beastar","Intro",,"https://www.youtube.com/watch?v=bgo9dJB_icw"
"song","Belly","Seal my fate","1990s,relaxing","https://www.youtube.com/watch?v=Z-CyzBzs-fM"
"song","Berlin","Take my breath away","1980s,synth-pop","https://www.youtube.com/watch?v=Bx51eegLTY8"
"song","Earl Wild (Beethoven)","Piano Sonata No. 14 in C-Sharp Minor - Moonlight","classic","https://www.youtube.com/watch?v=n-pwPIRW9fY"
"song","Bière sociale","Jusqu'à quand _",,"https://www.youtube.com/watch?v=G5QlJ1vnPCA"
"song","Bière sociale","Police Batard",,"https://www.youtube.com/watch?v=iPLN-bSOuCk"
"song","Bière sociale","Toutes les semaines",,"https://www.youtube.com/watch?v=7cWRfKYcWIk"
"song","Big Budha Cheez","Epicerie Coréenne",,"https://www.youtube.com/watch?v=hkYFSRSy_zg"
"song","Big Budha Cheez","M. City Citizen",,"https://www.youtube.com/watch?v=4gLK-yak5Zs"
"song","Bikini girl","Rebel girl",,"https://www.youtube.com/watch?v=mZxxhxjgnC0"
"song","Bill Withers","Ain't No Sunshine","1970s,blues,folk,rock,r&b,soul","https://www.youtube.com/watch?v=YuKfiH0Scao"
"song","Bill Withers","Just the two of us","1980s,r&b,rock,sexy,soul","https://www.youtube.com/watch?v=gelwwYuYGn0"
"song","Bill Withers","Use me","1970s,funk,soul","https://www.youtube.com/watch?v=NuYDKzky4z0"
"song","Bill Withers","Grandma's hands","1970s,soul","https://www.youtube.com/watch?v=TdrChyGb574"
"song","Bill Withers","Lean on me","1970s,gospel,soul","https://www.youtube.com/watch?v=gOZgo8gMIoM"
"song","Bill Withers","Lovely day","1970s,disco,funk,r&b,soul,uplifting","https://www.youtube.com/watch?v=bEeaS6fuUoA"
"song","Blonde redhead","For the damaged coda","melancholic,rick&morty","https://www.youtube.com/watch?v=l89Fq4Z2w30"
"song","Blondie","Heart of glass","1970s,disco,new-wave","https://www.youtube.com/watch?v=WGU_4-5RaxU"
"song","Boss","Progress of elimination",,"https://www.youtube.com/watch?v=VvGj2QCRAgI"
"song","Boss","Recipe of a hoe",,"https://www.youtube.com/watch?v=EhqwUil83sM"
"song","Boyz II Men","It's so hard to say goodbye to yesterday",,"https://www.youtube.com/watch?v=oK9gLkXe0xw"
"song","Brigitte Fontaine & Areski Belkacem","C'est normal",,"https://www.youtube.com/watch?v=r-YWuJ05Qew"
"song","Bronski beat","Smalltown boy","1980s,gay","https://www.youtube.com/watch?v=88sARuFu-tc"
"song","Bruno Mars","Leave the door open","sexy","https://www.youtube.com/watch?v=adLGHcj_fmA"
"song","Carmen Twillie","Prove it on me",,"https://www.youtube.com/watch?v=kBMR5tUJbFU"
"song","Casey","Chey moi",,"https://www.youtube.com/watch?v=_L6VuuBIc2w"
"song","Casey","Dans nos histoires",,"https://www.youtube.com/watch?v=anxA0XDpd3U"
"song","Casey","Ennemi de l'Ordre",,"https://www.youtube.com/watch?v=mJu4IMDbPhk"
"song","Casey","Le fusil dans l'étui",,"https://www.youtube.com/watch?v=5revRWb-w3Y"
"song","Casey","Mon plus bel hommage",,"https://www.youtube.com/watch?v=IJ3IfxzK7ZE"
"song","Casey","Pas à vendre",,"https://www.youtube.com/watch?v=oWPxQG0SF7U"
"song","Casey","Purger ma peine",,"https://www.youtube.com/watch?v=FCp2i7IDcuM"
"song","Casey","Regard glacé",,"https://www.youtube.com/watch?v=HTqeyQRcobU"
"song","Casey","Rêves illimités",,"https://www.youtube.com/watch?v=7-_2eTH1808"
"song","Casey","Sac de sucre",,"https://www.youtube.com/watch?v=KrMTAxuASdc"
"song","Casey","Tragédie d'une trajectoire",,"https://www.youtube.com/watch?v=YnDXW52D87o"
"song","Casey","Qui sont-ils _",,"https://www.youtube.com/watch?v=apnbuUvl6sI"
"song","Chaka Khan","I'm every woman","1970s,woman","https://www.youtube.com/watch?v=DVDCNmdi7QI"
"song","Chaos U.K.","Do you feel it",,"https://www.youtube.com/watch?v=qoYTtRLk1KE"
"song","Chic","I want your love","1970s,sex-playlist","https://www.youtube.com/watch?v=IfVmFkjsUtc"
"song","Chuck Berry","Johnny B. Goode","1950s,rock","https://www.youtube.com/watch?v=Uf4rxCB4lys"
"song","Collectif Mary Read","5000 ans d'erreurs","depression,relaxing","https://www.youtube.com/watch?v=3E31dB7HmyU"
"song","Collectif Mary Read","Note d'espoir",,"https://www.youtube.com/watch?v=VSzwiiWKDtM"
"song","Conexion musical","Autonom",,"https://www.youtube.com/watch?v=_RArzsaLAEg"
"song","Conflict","This is the A.L.F.",,"https://www.youtube.com/watch?v=7NZpEm_M5E8"
"song","Conflict","Statement",,"https://www.youtube.com/watch?v=2iy5tF8hLnQ"
"song","Culture Club","Do you really want to hurt me","1980s,blackface,othering","https://www.youtube.com/watch?v=2nXGPZaTKik"
"song","Culture Club","Karma Chameleon","1980s,transgender","https://www.youtube.com/watch?v=JmcA9LIIXWw"
"song","Curtis Mayfield","Move on up",,"https://www.youtube.com/watch?v=6Z66wVo7uNw"
"song","Cut Killer","Assassin de la police",,"https://www.youtube.com/watch?v=ENWeBtvAU90"
"song","Crass","Do they owe us a living",,"https://www.youtube.com/watch?v=6ricNb6SauU"
"song","Crass","They've got a bomb",,"https://www.youtube.com/watch?v=eKgJcg-Px3Y"
"song","Creedence Clearwater Revival","Fortunate Son","1960s,blues-rock,class-war,hard-rock,rock-n-roll,roots-rock,Vietnam-War","https://www.youtube.com/watch?v=ZWijx_AgPiA"
"song","Cyndi Lauper","Girls just want to have fun","1980s","https://www.youtube.com/watch?v=PIb6AZdTr-A"
"song","Cyndi Lauper","She Bop","1980s,masturbation","https://www.youtube.com/watch?v=KFq4E9XTueY"
"song","Cyndi Lauper","Time after time","1980s,cheesy","https://www.youtube.com/watch?v=VdQY7BusJNU"
"song","Cyndi Lauper","True colors","1980s,lesbian","https://www.youtube.com/watch?v=LPn0KFlbqX8"
"song","David Bowie","Life On Mars","1970s,glam-rock,rock","https://www.youtube.com/watch?v=ft3b1-Cm-0M"
"song","David Bowie","Space oddity","1960s,folk-rock,psychedelic-rock","https://www.youtube.com/watch?v=iYYRH4apXDo"
"song","David Bowie","Starman","1970s,glam-rock","https://www.youtube.com/watch?v=t365MuktYQs"
"song","David Bowie","Rock 'n' Roll suicide","rock","https://www.youtube.com/watch?v=SOgVoxqKU7U"
"song","David Bowie","Ziggy Stardust","1970s,glam-rock","https://www.youtube.com/watch?v=na8xgu-KLAk"
"song","Daft Punk","Aerodynamic","2000s","https://www.youtube.com/watch?v=L93-7vRfxNs"
"song","Daft Punk","Harder, better, faster, stronger","2000s","https://www.youtube.com/watch?v=gAjR4_CbPpQ"
"song","Daniel Johnston","Lonely song","dance,mental-health,rock,sad,uplifting","https://www.youtube.com/watch?v=QQ9IWGEzgeE"
"song","Dead Kennedys","Chemical warfare",,"https://www.youtube.com/watch?v=ahBvI4pdh9U"
"song","Dead Kennedys","Holiday in Cambodia",,"https://www.youtube.com/watch?v=-KTsXHXMkJA"
"song","Dead Kennedys","Kill the poor",,"https://www.youtube.com/watch?v=L8zhNb8ANe8"
"song","Dead Kennedys","Police Truck",,"https://www.youtube.com/watch?v=PScmRiaZhwk"
"song","Dead Prez","Hip hop",,"https://www.youtube.com/watch?v=MANhmoRJVPY"
"song","Debussy","Rêverie",,"https://www.youtube.com/watch?v=QRjllL-MP0U"
"song","Diana Ross","I'm coming out",,"https://www.youtube.com/watch?v=F-mjl63e0ms"
"song","Division Bolchoï","Violence rouge et colère noire",,"https://www.youtube.com/watch?v=QFpj7MAAaX8"
"song","DJ Arafat","Ventripotent",,"https://www.youtube.com/watch?v=cuk8PdGKv9c"
"song","DJ Pone","M.F.C.",,"https://www.youtube.com/watch?v=DxqLrPfHvSs"
"song","DJ Pone","Physical Element",,"https://www.youtube.com/watch?v=fc9pWFDfPDM"
"song","Depeche Mode","Enjoy the silence","1980s,alternative-rock,synth-pop,synth-rock","https://www.youtube.com/watch?v=aGSKrC7dGcY"
"song","Doja Cat","Go to town","cunnilingus,sex,uplifting,pop","https://www.youtube.com/watch?v=TLiGA_wrNp0"
"song","Doja Cat","Juicy","2020s,body-positive","https://www.youtube.com/watch?v=X2kPLQEFR6Y"
"song","Doja Cat","Say so","2020s,sexy","https://www.youtube.com/watch?v=pok8H_KF1FA"
"song","Dope Saint Jude","Liddy",,"https://www.youtube.com/watch?v=BsWlyFMGJb0"
"song","Drake","Toosie slide",,"https://www.youtube.com/watch?v=SoclSwDSupo"
"song","Dua Lipa","New Rules",,"https://www.youtube.com/watch?v=k2qgadSvNyU"
"song","Dumbfoundead","Safe",,"https://www.youtube.com/watch?v=mmvqb9Uzu8k"
"song","Elza Soares","Mulher do Fim do Mundo",,"https://www.youtube.com/watch?v=6SWIwW9mg8s"
"song","Enny","Peng black girls Remix (feat. Jorja Smith)","black women","https://www.youtube.com/watch?v=1YCdpfJA7wg"
"song","Eric B. & Rakim","Paid In Full",,"https://www.youtube.com/watch?v=E7t8eoA_1jQ"
"song","Erikah Badu","On & on","relaxing,soul","https://www.youtube.com/watch?v=-CPCs7vVz6s"
"song","Erikah Badu","Didn't Cha Know","relaxing,soul","https://www.youtube.com/watch?v=Np21rH7Ldto"
"song","Eunique","Willkommen in meinen Block","2020s,Deutshland","https://www.youtube.com/watch?v=pWAjliijMuI"
"song","Face","МОЙ КАЛАШНИКОВ",,"https://www.youtube.com/watch?v=pbsPM_VsyRo"
"song","Fanfara Tirana","Mos ma vish funin e shkurter","albanian,uplifting","https://www.youtube.com/watch?v=qGmmeLUFB38"
"song","Feu! Chatterton","Compagnons","2010s,chanson,rock","https://www.youtube.com/watch?v=MIGwTvSqEXs"
"song","Flavien Berger","La fête noire",,"https://www.youtube.com/watch?v=KKUfXDlTfBQ"
"song","Foetus Party","1984-1995",,"http://foetusparty.free.fr/SITE%20FP/Vynil/Audios/Foetus%20Party%20-%201984-1995.mp3"
"song","Foetus Party","Crimes sex",,"http://foetusparty.free.fr/SITE%20FP/CD/CD%20mp3s/Piste%2006.mp3"
"song","Foetus Party","Efferalgan",,"http://foetusparty.free.fr/SITE%20FP/Vynil/Audios/Foetus%20Party%20-%20Efferalgan.mp3"
"song","Foetus Party","Être urbain",,"http://foetusparty.free.fr/SITE%20FP/Vynil/Audios/Foetus%20Party%20-%20Etre%20Urbain.mp3"
"song","Foetus Party","Fatal shopping",,"http://foetusparty.free.fr/SITE%20FP/CD/CD%20mp3s/Piste%2003.mp3"
"song","Foetus Party","Joyeux crack",,"http://foetusparty.free.fr/SITE%20FP/CD/CD%20mp3s/Piste%2008.mp3"
"song","Foetus Party","La folie",,"http://foetusparty.free.fr/SITE%20FP/CD/CD%20mp3s/Piste%2007.mp3"
"song","Foetus Party","Le bal des tordues",,"http://foetusparty.free.fr/SITE%20FP/Vynil/Audios/Foetus%20Party%20-%20Le%20Bal%20Des%20TorduEs.mp3"
"song","Foetus Party","Les Ruffians",,"http://foetusparty.free.fr/SITE%20FP/Vynil/Audios/Foetus%20Party%20-%20Les%20Ruffians.mp3"
"song","Foetus Party","Misère citoyenne",,"http://foetusparty.free.fr/SITE%20FP/Vynil/Audios/Foetus%20Party%20-%20Mis%E8re%20Citoyenne.mp3"
"song","Foetus Party","Positive sodomie",,"http://foetusparty.free.fr/SITE%20FP/CD/CD%20mp3s/Piste%2009.mp3"
"song","Foetus Party","Tango des 7",,"http://foetusparty.free.fr/SITE%20FP/CD/CD%20mp3s/Piste%2004.mp3"
"song","Future","Mask off",,"https://www.youtube.com/watch?v=fjUGC8g4GOE"
"song","Georges Benson","Give me the night","1980s,sex-playlist","https://www.youtube.com/watch?v=FIF7wKJb2iU"
"song","Georges Brassens","La complainte des filles de joie",,"https://www.youtube.com/watch?v=HwPgs21a8_I"
"song","Georges Brassens","La ballade des gens qui sont nés quelque part",,"https://www.youtube.com/watch?v=RSJmN-Mg978"
"song","Gerry Rafferty","Baker street","1970s,jazz-rock,rock,saxophone,soft-rock","https://www.youtube.com/watch?v=Fo6aKnRnBxM"
"song","Gil Scott-Heron","Enough",,"https://www.youtube.com/watch?v=OljYVL2m-io"
"song","Gil Scott-Heron","Lady Day And John Coltrane",,"https://www.youtube.com/watch?v=7aRNUsmfeck"
"song","Gil Scott-Heron","The Bottle",,"https://www.youtube.com/watch?v=EdhoX1Xu6ZI"
"song","Gil Scott-Heron","We almost lost Detroit",,"https://www.youtube.com/watch?v=cpNUqNe0U5g"
"song","Gil Scott-Heron","Whitey On the Moon",,"https://www.youtube.com/watch?v=goh2x_G0ct4"
"song","Ginni Gallan","L'amour ça rend fou",,"https://www.youtube.com/watch?v=HikvvHS1nAo"
"song","Girl in red","Bad idea!","chill","https://www.youtube.com/watch?v=Xo8QvY0jOOE"
"song","Girl in red","Girls","chill,gay","https://www.youtube.com/watch?v=_BMBDY01kPk"
"song","Girl in red","I wanna be your girlfriend","chill,gay","https://www.youtube.com/watch?v=OCOfUWqS2eA"
"song","Girl in red","Rushed lovers","chill","https://www.youtube.com/watch?v=PGZzGWGijnY"
"song","Girl in red","We fell in love in October","chill","https://www.youtube.com/watch?v=iggmiF7DNoM"
"song","Grace Petrie","Black Tie","folk,queer,uplifting","https://www.youtube.com/watch?v=mzU7aIk1dGI"
"song","Grandmaster Flash & The Furious Five","The message",,"https://www.youtube.com/watch?v=4kjeWGQ175g"
"song","Gringo ft. Hasan.K","NB4","deutsch, Hiphop","https://www.youtube.com/watch?v=PcxAJKxGF3s"
"song","GRLWood","A-State",,"https://www.youtube.com/watch?v=_SuIYpF7Ap0"
"song","GRLWood","Communicate with me",,"https://www.youtube.com/watch?v=0_KJEwzPyY4"
"song","GRLWood","Fuck me up","gay","https://www.youtube.com/watch?v=p-gIHQUIl4A"
"song","GRLWood","Gay 4 U","gay","https://www.youtube.com/watch?v=iq2j9Qy1cp0"
"song","GRLWood","Hard to touch",,"https://www.youtube.com/watch?v=lpnMVxPeXVo"
"song","GRLWood","I hate my mom","sad","https://www.youtube.com/watch?v=OmzslTmj7wk"
"song","GRLWood","I'm Yer Dad","sad","https://www.youtube.com/watch?v=bUkB9YAdSEw"
"song","GRLWood","Nice guy",,"https://www.youtube.com/watch?v=Jp9l61_00GY"
"song","GRLWood","No tongue","gay,sad","https://www.youtube.com/watch?v=tGPqys_U05E"
"song","GRLWood","Take off your clothes","sad,trauma","https://www.youtube.com/watch?v=38EDIv-gAgc"
"song","Hayley Kiyoko","Cliffs Edge",,"https://www.youtube.com/watch?v=7ZfCUM1uyvw"
"song","Hayley Kiyoko","One Bad Night",,"https://www.youtube.com/watch?v=L_wXWFnTjxU"
"song","Hayley Kiyoko","Girls Like Girls","gay","https://www.youtube.com/watch?v=I0MT8SwNa_U"
"song","Hayley Kiyoko","She",,"https://www.youtube.com/watch?v=anIqZSfxOQU"
"song","Heuss l'enfoiré","Aristocrate","2020s,pop","https://www.youtube.com/watch?v=eKtXIePYoTY"
"song","Heuss l'enfoiré","Midi Midi",,"https://www.dailymotion.com/video/x6e5s08"
"song","Hologram Lo'","Rov or benz ft. Prince Waly & Alpha Wann","hiphop","https://www.youtube.com/watch?v=fG4t5CWGBpg"
"song","Hozier","Take me to church","gay,homophobia,piano","https://www.youtube.com/watch?v=PVjiKRfKpPI"
"song","Hugo TSR","Là-Haut","hiphop","https://www.youtube.com/watch?v=eviqX3QXd-s"
"song","Hugo TSR","Point de départ","hiphop","https://www.youtube.com/watch?v=4o338ZKS_84"
"song","Ifuwereon","If you were gay, Roy","gay,uplifting","https://www.youtube.com/watch?v=7xVvGln_FIE"
"song","Iggy Pop","The passenger","1970s,garage rock,proto-punk,night,rock","https://www.youtube.com/watch?v=-fWw7FE9tTo"
